id,created_at,locale,duration_seconds,top_result,score_A,score_C,score_E,score_I,score_R,score_S,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
1,2026-03-31T14:03:30.424+00:00,,,E,0,3,19,6,6,0,4,1,5,4,4,4,0,1,4,0,4,4
2,2026-03-31T19:19:44.814+00:00,,,A,50,0,8,8,0,33,3,4,1,2,3,2,2,2,2,2,3,3
3,2026-04-01T09:27:12.509219+00:00,,,E,8,25,33,8,0,25,4,3,2,1,2,5,0,1,4,1,1,0
4,2026-04-01T16:49:37.806+00:00,,,C,8,42,17,25,0,8,5,1,5,4,1,4,3,5,5,2,5,1
5,2026-04-01T18:29:51.08+00:00,,,chief-people-officer,17,0,8,17,0,58,3,3,3,3,2,3,3,4,1,1,2,3
6,2026-04-02T16:25:30.341+00:00,,,machine-learning-engineer,8,25,0,50,17,0,1,5,1,0,5,0,5,2,1,1,1,1
7,2026-04-02T20:20:44.719+00:00,,,chief-people-officer,0,8,8,17,8,58,4,3,3,3,1,5,3,3,1,0,3,3
8,2026-04-03T01:09:24.594+00:00,,,engineering-manager,8,0,8,33,42,8,0,2,0,0,1,1,0,1,4,0,3,1
9,2026-04-03T01:09:24.594+00:00,,,engineering-manager,8,0,8,33,42,8,0,2,0,0,1,1,0,1,4,0,3,1
10,2026-04-03T08:54:01.756+00:00,,,portfolio-manager,8,33,33,0,25,0,4,2,0,5,4,4,5,0,5,0,5,4
11,2026-04-03T19:26:02.855+00:00,,,data-scientist,17,8,8,33,8,25,1,4,2,5,3,1,0,1,3,2,1,3
12,2026-04-03T20:27:24.29+00:00,,,A,83,8,0,8,0,0,2,2,2,2,2,2,2,1,5,2,2,2
13,2026-04-03T22:13:37.085+00:00,,,solutions-architect,33,33,8,8,0,17,2,5,4,2,5,1,2,5,2,3,3,5
14,2026-04-04T09:48:11.893+00:00,,,I,25,17,17,25,0,17,5,4,1,2,4,2,1,3,1,5,3,2
15,2026-04-04T10:27:11.495+00:00,,37,I,17,8,17,33,17,8,4,0,4,2,3,3,5,0,3,2,3,4
16,2026-04-04T11:53:07.688+00:00,,,solutions-architect,25,8,25,8,8,25,3,5,4,2,3,1,0,3,4,2,2,4
17,2026-04-04T22:43:17.57+00:00,,,A,42,0,0,25,8,25,3,3,2,2,2,3,0,1,1,2,2,1
18,2026-04-05T16:14:03.391+00:00,,,physician,0,8,0,50,0,42,3,1,3,3,1,1,5,1,1,1,3,3
19,2026-04-05T20:13:37.149+00:00,,,A,42,17,0,25,0,17,2,3,1,2,1,5,2,5,2,3,1,2
20,2026-04-06T07:28:02.01+00:00,,,talent-agent,25,0,17,8,0,50,3,1,3,2,4,3,3,2,4,3,3,2
21,2026-04-06T11:17:33.788642+00:00,en,32,A,42,8,17,8,8,17,3,5,2,3,5,0,1,4,5,2,3,3
22,2026-04-06T12:24:16.791234+00:00,,,C,0,50,33,8,0,8,5,5,4,5,3,5,5,1,4,4,4,5
23,2026-04-06T12:38:47.396+00:00,,,gene-therapy-scientist,8,0,0,33,33,25,0,0,1,0,0,1,2,1,3,1,3,3
