id,created_at,locale,duration_seconds,top_result,score_C,score_D,score_I,score_S,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
1,2026-02-23T22:16:19.394502+00:00,,,D,22,67,11,44,1,3,2,0,1,0,0,1,3,0,1,1
2,2026-02-24T10:04:13.575608+00:00,,,I,33,33,44,33,0,1,2,3,0,1,1,1,1,1,1,1
3,2026-03-19T11:43:54.12432+00:00,,5,D,67,78,67,78,3,1,3,3,2,1,1,3,3,3,2,1
4,2026-03-31T18:11:16.876692+00:00,,,C,100,56,33,67,2,1,2,0,0,3,2,2,2,3,3,3
5,2026-04-10T11:55:23.61+00:00,,,I,67,89,100,67,2,3,3,3,3,3,1,2,3,3,2,1
6,2026-04-11T17:43:55.486214+00:00,,,C,89,33,56,78,1,0,2,1,1,3,3,2,2,2,3,3
7,2026-04-12T14:14:38.027356+00:00,,,I,56,44,78,33,0,3,1,2,3,2,1,1,1,3,1,1
8,2026-04-13T07:18:36.239637+00:00,,,I,67,56,89,67,1,3,1,3,2,3,3,2,1,3,2,1
9,2026-04-13T09:16:28.545935+00:00,,,C,44,33,11,22,2,0,1,1,0,0,0,1,1,1,1,2
10,2026-04-13T21:37:59.359982+00:00,,,C,67,44,56,56,2,1,1,2,1,2,0,3,2,3,1,2
11,2026-04-13T23:20:15.085008+00:00,,,S,44,11,0,67,1,0,0,0,0,0,2,2,2,1,2,1
12,2026-04-13T23:31:21.629502+00:00,,,I,56,67,78,22,3,1,2,3,2,2,0,2,0,2,2,1
13,2026-04-14T11:03:36.886952+00:00,,5,I,67,33,67,56,1,2,0,2,3,1,1,3,1,3,1,2
14,2026-04-14T15:13:40.956724+00:00,,,S,67,44,22,78,2,0,2,1,0,1,2,2,3,2,2,2
15,2026-04-14T18:12:24.124+00:00,,,I,22,78,100,11,2,2,3,3,3,3,0,1,0,0,1,1
16,2026-04-15T08:51:46.769+00:00,,,S,33,33,22,67,1,1,1,1,1,0,2,2,2,2,0,1
17,2026-04-15T17:03:05.490361+00:00,,,S,78,33,11,78,1,0,2,1,0,0,2,2,3,2,2,3
18,2026-04-16T06:28:16.333001+00:00,,,D,56,100,100,22,3,3,3,3,3,3,1,0,1,2,1,2
19,2026-04-16T14:29:51.533+00:00,,,S,56,33,0,100,1,1,1,0,0,0,3,3,3,2,2,1
