id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
1,2026-02-24T19:58:57.879654+00:00,,,self_awareness,67,67,50,17,2,2,2,1,2,2,2,2,0,1
2,2026-04-18T23:41:29.912494+00:00,,49,empathy,67,56,50,33,1,2,2,1,2,2,2,2,0,2
3,2026-04-21T23:44:54.920183+00:00,,37,social_skills,78,67,67,83,2,3,1,2,2,3,3,1,2,3
4,2026-04-22T13:52:59.72937+00:00,,9,self_awareness,50,50,50,50,3,3,3,3,3,3,3,3,3,3
5,2026-04-22T14:26:11.06645+00:00,,166,self_regulation,78,89,100,83,2,3,3,3,3,3,2,2,2,3
6,2026-04-23T13:08:40.973138+00:00,,49,self_awareness,56,67,50,50,2,2,2,1,2,2,2,1,2,1
7,2026-04-24T09:44:03.92381+00:00,,5,self_regulation,44,33,67,33,2,1,0,3,1,0,3,1,2,0
8,2026-04-24T10:14:36.742083+00:00,,169,empathy,67,44,50,50,1,1,2,1,2,2,2,2,2,1
9,2026-04-24T21:48:47.062965+00:00,,54,self_awareness,78,100,67,67,3,3,3,2,2,2,2,3,2,2
10,2026-04-27T03:13:13.402721+00:00,,67,self_regulation,44,44,67,50,2,2,0,2,2,2,1,1,2,1
11,2026-04-28T19:03:13.18+00:00,,,self_regulation,33,33,100,0,3,0,0,3,3,2,0,1,0,0
12,2026-04-28T19:04:37.110474+00:00,,156,self_awareness,56,67,67,50,2,2,2,2,2,2,1,2,2,1
13,2026-04-28T20:38:30.248383+00:00,,5,self_awareness,56,78,50,17,3,1,3,2,1,1,3,1,0,1
14,2026-04-29T03:43:46.884078+00:00,,70,empathy,100,67,67,100,3,0,3,1,3,3,3,3,3,3
15,2026-04-29T13:34:20.344834+00:00,,54,self_awareness,56,89,67,67,3,3,2,2,2,2,1,2,2,2
16,2026-04-29T13:45:59.05+00:00,,,self_awareness,56,67,50,33,2,2,2,2,1,2,1,2,1,1
17,2026-04-29T23:56:16.150523+00:00,,43,self_awareness,67,89,67,67,3,3,2,2,2,2,2,2,2,2
18,2026-04-30T13:50:45.502+00:00,,,self_awareness,33,67,50,33,3,2,1,2,1,0,1,2,2,0
19,2026-05-01T10:11:58.564716+00:00,,125,self_awareness,67,78,50,33,3,3,1,1,2,2,2,2,1,1
20,2026-05-02T20:31:57.01083+00:00,,126,social_skills,33,22,17,50,1,1,0,1,0,2,1,0,2,1
21,2026-05-04T14:06:22.287+00:00,,,empathy,78,44,67,33,0,2,2,2,2,2,2,3,1,1
22,2026-05-05T05:44:58.004444+00:00,,41,self_regulation,67,67,83,50,2,2,2,2,3,2,2,2,2,1
23,2026-05-05T14:39:11.07+00:00,,,self_awareness,89,89,83,83,3,3,2,3,2,3,2,3,2,3
24,2026-05-05T17:19:08.49+00:00,,,empathy,67,33,50,50,1,1,1,1,2,2,2,2,2,1
25,2026-05-05T18:44:58.087+00:00,,,self_awareness,67,67,33,67,2,3,1,1,1,2,2,2,2,2
26,2026-05-05T20:52:13.412365+00:00,,35,self_awareness,100,100,50,83,3,3,3,1,2,3,3,3,2,3
27,2026-05-06T07:08:14.387+00:00,,,self_awareness,0,44,17,17,1,3,0,0,1,0,0,0,0,1
28,2026-05-06T16:19:38.23364+00:00,,38,self_awareness,67,100,67,50,3,3,3,2,2,2,2,2,1,2
29,2026-05-06T19:59:15.384+00:00,,,social_skills,33,33,0,67,1,1,1,0,0,1,1,1,2,2
30,2026-05-06T23:35:53.466+00:00,,,empathy,100,78,50,83,2,3,2,2,1,3,3,3,2,3
31,2026-05-06T23:35:53.466+00:00,,,empathy,100,78,50,83,2,3,2,2,1,3,3,3,2,3
32,2026-05-07T16:50:50.373+00:00,,,self_regulation,33,67,83,50,2,2,2,3,2,1,1,1,2,1
33,2026-05-07T18:43:44.964178+00:00,,4,self_regulation,67,78,100,67,2,3,2,3,3,2,3,1,2,2
34,2026-05-07T19:20:06.564+00:00,,,self_awareness,67,100,83,83,3,3,3,3,2,2,2,2,2,3
35,2026-05-08T12:05:05.9211+00:00,,45,self_awareness,89,89,83,83,3,3,2,3,2,3,2,3,3,2
36,2026-05-08T17:34:38.209834+00:00,en,7,self_awareness,44,67,50,17,1,2,3,0,3,1,0,3,1,0
37,2026-05-09T22:24:21.852513+00:00,en,42,empathy,89,78,67,17,2,2,3,2,2,3,3,2,0,1
38,2026-05-10T03:27:04.961205+00:00,en,71,empathy,67,56,33,50,2,1,2,1,1,2,1,3,1,2
39,2026-05-10T13:08:58.374525+00:00,en,8,self_awareness,50,50,50,50,3,3,3,3,3,3,3,3,3,3
40,2026-05-10T18:39:37.68298+00:00,en,162,social_skills,67,44,50,83,1,1,2,2,1,2,2,2,2,3
41,2026-05-13T07:14:11.333409+00:00,en,50,empathy,89,56,67,67,2,2,1,2,2,3,2,3,2,2
42,2026-05-14T03:56:59.184043+00:00,en,39,self_awareness,67,89,33,83,3,3,2,1,1,3,1,2,2,3
43,2026-05-14T15:13:09.753007+00:00,en,72,self_awareness,44,89,83,67,3,3,2,3,2,2,1,1,2,2
44,2026-05-15T06:16:58.109278+00:00,en,29,self_awareness,89,89,67,67,3,2,3,1,3,3,3,2,2,2
45,2026-05-15T07:08:20.47562+00:00,en,65,self_regulation,67,56,67,50,2,2,1,2,2,2,2,2,2,1
46,2026-05-15T10:49:48.686606+00:00,en,47,self_awareness,100,100,83,100,3,3,3,2,3,3,3,3,3,3
47,2026-05-15T16:53:19.684356+00:00,en,42,self_awareness,67,78,33,50,2,3,2,1,1,3,2,1,1,2
48,2026-05-15T17:26:36.14543+00:00,,108,empathy,100,67,50,50,2,1,3,2,1,3,3,3,2,1
49,2026-05-15T17:46:39.841028+00:00,,113,self_awareness,44,67,67,67,2,2,2,2,2,1,1,2,2,2
50,2026-05-15T18:01:11.812279+00:00,,58,social_skills,56,78,83,100,2,3,2,3,2,1,2,2,3,3
